,name,region,link,latitude,longitude
39,Farinole,CORSE,"https://www.google.fr/maps/place/42°43'44.7%22N+9°20'06.8%22E/@42.729077,9.333031,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",42.729077,9.333031
40,Cap Ferret,GIRONDE,"https://www.google.fr/maps/place/Plage+de+l'océan/@44.7495741,-1.3661019,11z/data=!4m5!1m2!2m1!1sCap+Ferret+plage!3m1!1s0x0000000000000000:0x93e7e012cf499299",44.7495741,-1.3661019
41,Carcans Plage,GIRONDE,"https://www.google.fr/maps/place/Carcans+Plage,+33121+Carcans/@45.0826292,-1.2044026,14z/data=!3m1!4b1!4m2!3m1!1s0x4801f8dcaae8532b:0x2d821978e1c3398a",45.0826292,-1.2044026
42,Hourtin,GIRONDE,"https://www.google.fr/maps/place/Hourtin/@45.1830609,-1.1936039,11z/data=!3m1!4b1!4m2!3m1!1s0x4801ee2d6018c439:0x40665174816e460",45.1830609,-1.1936039
43,Lacanau Océan,GIRONDE,"https://www.google.fr/maps/place/Plage+Centrale/@44.9880875,-1.1663308,12z/data=!4m2!3m1!1s0x0000000000000000:0x6d36ce95d6e20b36",44.9880875,-1.1663308
44,Le Grand Crohot,GIRONDE,"https://www.google.fr/maps/place/Plage+du+Grand+Crohot/@44.7720131,-1.3111001,11z/data=!4m5!1m2!2m1!1sLe+Grand+Crohot+plage!3m1!1s0x0000000000000000:0xd73c5460afc2de81",44.7720131,-1.3111001
45,Le Gurp,GIRONDE,"https://www.google.fr/maps/place/Plage+Gurp/@45.4339267,-1.1534998,15z/data=!4m7!1m4!3m3!1s0x48018f4955148fdf:0xb5313c0fcd37995b!2sCamping+Municipal+du+Gurp!3b1!3m1!1s0x0000000000000000:0x79603cff7bc2d0b9",45.4339267,-1.1534998
46,Le Porge,GIRONDE,"https://www.google.fr/maps/place/D107,+33680+Le+Porge/@44.8932535,-1.2147411,17z/data=!3m1!4b1!4m2!3m1!1s0xd53562778852f1d:0x5760dcf85afc3fa5",44.8932535,-1.2147411
47,Le Truc Vert,GIRONDE,"https://www.google.fr/maps/place/181+Avenue+du+Truc+Vert,+33950+Lège-Cap-Ferret/@44.7140201,-1.2472477,17z/data=!3m1!4b1!4m2!3m1!1s0xd535fb66dca3c3d:0xb8ec8ffef6a10bf1",44.7140201,-1.2472477
48,Le Verdon sur Mer,GIRONDE,"https://www.google.fr/maps/place/33123+Le+Verdon-sur-Mer/@45.5416981,-1.1127917,13z/data=!4m2!3m1!1s0x4801837bd19d0965:0x7beb8d4616779cd2",45.5416981,-1.1127917
49,Montalivet,GIRONDE,"https://www.google.fr/maps/place/33930+Montalivet/@45.3833472,-1.1587762,15z/data=!3m1!4b1!4m2!3m1!1s0x48018eb4a4f397b9:0x19f1e3e5ce3a562a",45.3833472,-1.1587762
50,Soulac,GIRONDE,"https://www.google.fr/maps/place/7+Boulevard+du+Front+de+Mer,+33780+Soulac-sur-Mer/@45.5098343,-1.1345636,17z/data=!3m1!4b1!4m2!3m1!1s0x4801846d94a0377f:0x8a774cab9cc26dfa",45.5098343,-1.1345636
51,Biscarrosse,LANDES,"https://www.google.fr/maps/place/Biscarrosse+Plage,+40600+Biscarrosse/@44.4463591,-1.2640695,14z/data=!3m1!4b1!4m2!3m1!1s0xd537e5e82d498c9:0xa066519d2f3ab30",44.4463591,-1.2640695
52,Boucau Tarnos,LANDES,"https://www.google.fr/maps/place/Plage+de+la+Digue/@43.533873,-1.5209217,17z/data=!3m1!4b1!4m2!3m1!1s0xd5141e1ab592e51:0xede6cac3db68bc82",43.533873,-1.5209217
53,Capbreton La Piste,LANDES,"https://www.google.fr/maps/place/Passage+Beausoleil,+40130+Capbreton/@43.6454327,-1.4465821,17z/data=!3m1!4b1!4m2!3m1!1s0xd515ca0622323fd:0xfca919c78ba1c3d6",43.6454327,-1.4465821
54,Capbreton Santosha,LANDES,"https://www.google.fr/maps/place/Capbreton+Surf+Club/@43.6459062,-1.4464641,17z/data=!4m2!3m1!1s0x0000000000000000:0x8f2a1d29af4d3f6a",43.6459062,-1.4464641
55,Capbreton VVF,LANDES,"https://www.google.fr/maps/place/Chemin+de+la+Mer,+40130+Capbreton/@43.6409566,-1.4479905,17z/data=!3m1!4b1!4m2!3m1!1s0xd515ca702c6e803:0x5caea5380bc19eb7",43.6409566,-1.4479905
56,Contis plage,LANDES,"https://www.google.fr/maps/place/Contis-Plage,+40170+Saint-Julien-en-Born/@44.0911561,-1.3376306,14z/data=!3m1!4b1!4m2!3m1!1s0xd538cd253e22c4f:0x1a0a5db646cb5c97",44.0911561,-1.3376306
57,Hossegor La Nord,LANDES,"https://www.google.fr/maps/place/Plage+Centrale/@43.6635828,-1.4444392,17z/data=!4m6!1m3!3m2!1s0xd515b7e4755c14b:0x5ce2277b50ae0499!2sHossegor+Surf+Club!3m1!1s0x0000000000000000:0x24f13ee3a6f681c3",43.6635828,-1.4444392
58,Hossegor La Gravière,LANDES,"https://www.google.fr/maps/place/La+Graviere/@43.6651893,-1.4435272,17z/data=!4m6!1m3!3m2!1s0xd515b7e4755c14b:0x5ce2277b50ae0499!2sHossegor+Surf+Club!3m1!1s0x0000000000000000:0x10366902fd13eac9",43.6651893,-1.4435272
59,Labenne Océan,LANDES,"https://www.google.fr/maps/place/Labenne-Océan,+40530+Labenne/@43.5969301,-1.4868686,14z/data=!3m1!4b1!4m2!3m1!1s0xd51430c24b44ca7:0xa066519d2f39ab0",43.5969301,-1.4868686
60,Messanges,LANDES,"https://www.google.fr/maps/place/Plage+de+Messanges,+40660+Messanges/@43.8157971,-1.439294,13z/data=!4m2!3m1!1s0xd53e2ff529613d5:0xd62c2328338fa5e5",43.8157971,-1.439294
61,Mimizan-Plage,LANDES,"https://www.google.fr/maps/place/mimizan+surf+club/@44.208088,-1.2986884,16z/data=!4m2!3m1!1s0x0000000000000000:0x3be8309c5e6dc5b4",44.208088,-1.2986884
62,Moliets,LANDES,"https://www.google.fr/maps/place/117+Rue+de+l'Embouchure,+40660+Moliets-et-Maa/@43.8572982,-1.3882611,17z/data=!3m1!4b1!4m2!3m1!1s0xd53e36070337513:0x608719936ebaafa7",43.8572982,-1.3882611
63,Seignosse Les Bourdaines,LANDES,"https://www.google.fr/maps/place/Plage+des+Bourdaines/@43.696459,-1.4385716,17z/data=!4m6!1m3!3m2!1s0xd515bfa63b27a45:0x2db218c0597587dd!2sLoft+Culturel+Les+Bourdaines!3m1!1s0x0000000000000000:0xe00a575cb7d416c3",43.696459,-1.4385716
64,Seignosse Les Estagnots,LANDES,"https://www.google.fr/maps/place/1+Avenue+du+8+Mai+1945,+40510+Seignosse/@43.6905506,-1.4389453,17z/data=!3m1!4b1!4m2!3m1!1s0xd515bf3d0b7d2a5:0xde4c0f1f061127e4",43.6905506,-1.4389453
65,Soustons,LANDES,"https://www.google.fr/maps/place/1+Montée+de+la+Plage,+40140+Soustons/@43.7751359,-1.4167096,17z/data=!3m1!4b1!4m5!1m2!2m1!1sSoustons+plage!3m1!1s0xd51589b2b2fde1b:0x17869d727aa48208",43.7751359,-1.4167096
66,St Girons,LANDES,"https://www.google.fr/maps/place/Vielle-Saint-Girons/@43.9430047,-1.3916772,12z/data=!3m1!4b1!4m2!3m1!1s0xd53f08681b75219:0x406651748162b50",43.9430047,-1.3916772
67,Tarnos Le Métro,LANDES,"https://www.google.fr/maps/place/Plage+du+Métro/@43.5595433,-1.5047569,16z/data=!4m2!3m1!1s0x0000000000000000:0x89476a8b63ff5254",43.5595433,-1.5047569
68,Vieux Boucau,LANDES,"https://www.google.fr/maps/place/Vieux-Boucau+Surf+Club/@43.7878358,-1.413031,16z/data=!4m5!1m2!2m1!1sSoustons+plage!3m1!1s0x0000000000000000:0xdd5d6c969a58aff6",43.7878358,-1.413031
69,Canet Plage,LANGUEDOC ROUSSILLON,"https://www.google.fr/maps/place/Swim+Club/@42.7058472,3.0345725,17z/data=!4m2!3m1!1s0x0000000000000000:0x52f51f2644ccb0c2",42.7058472,3.0345725
70,Gruissan,LANGUEDOC ROUSSILLON,"https://www.google.fr/maps/place/Plage+des+Chalets/@43.1019065,3.1043673,15z/data=!4m2!3m1!1s0x0000000000000000:0xe1d811617b9f46ad",43.1019065,3.1043673
71,Palavas-les-Flots,LANGUEDOC ROUSSILLON,"https://www.google.fr/maps/place/Plage+Le+Petit+Travers/@43.5361324,3.975108,13z/data=!4m5!1m2!2m1!1sPalavas-les-Flots+plage!3m1!1s0x0000000000000000:0xc7bd925887408757",43.5361324,3.975108
72,Siouville,NORMANDIE,"https://www.google.com/maps/place/49°34'07.0%22N+1°50'38.0%22W/@49.5686085,-1.846088,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x480cec4db3fab077:0x72b1686bcb8dd123!2s50340+Siouville-Hague!3b1!8m2!3d49.5584879!4d-1.840117!3m5!1s0x0:0x0!7e2!8m2!3d49.5686054!4d-1.8438937",49.5686085,-1.846088
73,Etretat,NORMANDIE,"https://www.google.com/maps/place/49°42'49.9%22N+0°12'25.9%22E/@49.7138527,0.2061314,286m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x47e017c3893f4e43:0x40c14484fb684d0!2zw4l0cmV0YXQ!3b1!8m2!3d49.7070069!4d0.2055978!3m5!1s0x0:0x0!7e2!8m2!3d49.713851!4d0.2071981",49.7138527,0.2061314
74,Pourville,NORMANDIE,"https://www.google.com/maps/place/49°55'03.7%22N+1°01'48.0%22E/@49.9176854,1.027792,586m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x47e098df58377879:0xeca4c89bd2850a79!2sPourville-sur-Mer,+76550+Hautot-sur-Mer!3b1!8m2!3d49.9165004!4d1.0314083!3m5!1s0x0:0x0!7e2!8m2!3d49.9176816!4d1.0299865",49.9176854,1.027792
75,Le Rozel,NORMANDIE,"https://www.google.com/maps/place/49°28'44.4%22N+1°50'43.2%22W/@49.4790035,-1.847531,591m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x480cf258f3dd459f:0xca9b427f2ad6bc8c!2s50340+Le+Rozel!3b1!8m2!3d49.485138!4d-1.828121!3m5!1s0x0:0x0!7e2!8m2!3d49.4790001!4d-1.8453373",49.4790035,-1.847531
76,Surtainville,NORMANDIE,"https://www.google.com/maps/place/Unnamed+Road,+50270+Surtainville/@49.4572553,-1.8298109,592m/data=!3m2!1e3!4b1!4m13!1m7!3m6!1s0x480cf310260c9225:0xffdb3bd0a3fff454!2sSurtainville!3b1!8m2!3d49.4552375!4d-1.818924!3m4!1s0x480cf3a6d205ad3f:0xb5377263cd08d696!8m2!3d49.4574664!4d-1.8275085",49.4572553,-1.8298109
77,La Hague-Urville-Nacqueville,NORMANDIE,"https://www.google.com/maps/place/49°40'39.5%22N+1°44'07.9%22W/@49.6776435,-1.737717,589m/data=!3m2!1e3!4b1!4m22!1m15!4m14!1m6!1m2!1s0x480cc30f4681dff5:0xe14b9dbfd7df7734!2sCap+de+la+Hague,+50440!2m2!1d-1.939925!2d49.7269689!1m6!1m2!1s0x480c95863df90771:0x86e45f13b762bae5!2sUrville-Nacqueville!2m2!1d-1.736793!2d49.674442!3m5!1s0x0:0x0!7e2!8m2!3d49.6776399!4d-1.735523",49.6776435,-1.737717
78,Barbâtre plage,PAYS DE LOIRE,"https://www.google.fr/maps/place/Plage+des+Dames/@46.9257345,-2.3958682,10z/data=!4m5!1m2!2m1!1sbarbatre+plage!3m1!1s0x0000000000000000:0x6b477115cdb6db77",46.9257345,-2.3958682
79,Brétignolles Les Dunes,PAYS DE LOIRE,"https://www.google.fr/maps/place/Poste+de+Secours+Dunes+2/@46.6036337,-1.8559491,16z/data=!4m6!1m3!3m2!1s0x48045bd0826d103f:0xf9ec482fca67b6c1!2sL'Escale+des+Dunes!3m1!1s0x0000000000000000:0xd017233a45486ee4",46.6036337,-1.8559491
80,Brétignolles La Sauzaie,PAYS DE LOIRE,"https://www.google.fr/maps/@46.6173579,-1.8716681,14z",46.6173579,-1.8716681
81,Bud Bud,PAYS DE LOIRE,"https://www.google.fr/maps/search/bud+bud+vendée/@46.3887908,-1.5085887,14z",46.3887908,-1.5085887
82,Gohaud plage,PAYS DE LOIRE,"https://www.google.fr/maps/@47.1682356,-2.1733939,15z",47.1682356,-2.1733939
83,La Baule,PAYS DE LOIRE,"https://www.google.fr/maps/@47.2795677,-2.418067,14z",47.2795677,-2.418067
84,La Tranche,PAYS DE LOIRE,"https://www.google.fr/maps/@46.3403314,-1.447304,13z",46.3403314,-1.447304
85,La Govelle Batz sur Mer,PAYS DE LOIRE,"https://www.google.fr/maps/place/La+Govelle,+44740+Batz-sur-Mer/@47.2651511,-2.4614462,15z/data=!3m1!4b1!4m2!3m1!1s0x480544d5671f8a29:0x0a0d3754dce5c5a0",47.2651511,-2.4614462
86,L'Embarcadère,PAYS DE LOIRE,"https://www.google.fr/maps/place/WAVE+SCHOOL+école+de+windsurf+%2F+Stand+up+paddle+-+location/@46.343017,-1.430931,17z/data=!3m1!4b1!4m2!3m1!1s0x48040559c14bfc59:0x74e12e5baf7718df",46.343017,-1.430931
87,L’île-D’Yeu Les Vieilles,PAYS DE LOIRE,"https://www.google.fr/maps/place/Les+Vieilles,+85350+L'Île-d'Yeu/@46.693544,-2.3198504,16z/data=!4m2!3m1!1s0x4804ddadb125749b:0x1fbd39b442b0b009",46.693544,-2.3198504
88,Longeville sur Mer,PAYS DE LOIRE,"https://www.google.fr/maps/place/Manusurf+%7C+école+de+surf+%7C+Vendée+%7C+Longeville+%7C+La+Tranche/@46.3887131,-1.5024862,15z/data=!4m2!3m1!1s0x0000000000000000:0xd3f9e466a7ba0ec6",46.3887131,-1.5024862
89,Préfaille,PAYS DE LOIRE,"https://www.google.fr/maps/place/47°08'08.2%22N+2°14'34.4%22W/@47.135602,-2.247265,16z/data=!4m2!3m1!1s0x0:0x0",47.135602,-2.247265
90,Pornichet,PAYS DE LOIRE,"https://www.google.fr/maps/@47.259766,-2.3771257,14z",47.259766,-2.3771257
91,Sables d'Olonne Tanchet,PAYS DE LOIRE,"https://www.google.fr/maps/place/46°28'52.1%22N+1°45'41.2%22W/@46.481146,-1.7702091,15z/data=!4m2!3m1!1s0x0:0x0",46.481146,-1.7702091
92,Saint Gilles Croix de Vie,PAYS DE LOIRE,"https://www.google.fr/maps/place/Surfing+Saint+Gilles/@46.6877032,-1.9386083,18z/data=!4m2!3m1!1s0x0000000000000000:0x5d3c0ac1d3236c32",46.6877032,-1.9386083
93,Sauveterre plage,PAYS DE LOIRE,"https://www.google.fr/maps/place/La+plage+de+Sauveterre/@46.547291,-1.9708447,11z/data=!4m2!3m1!1s0x48045c49ccfcb7e7:0xb78a06a463799ab9",46.547291,-1.9708447
94,Anglet La Barre,PAYS BASQUE,"https://www.google.fr/maps/place/43°31'34.7%22N+1°31'29.2%22W/@43.526315,-1.52697,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.526315,-1.52697
95,Anglet La Chambre d’Amour,PAYS BASQUE,"https://www.google.fr/maps/place/43°29'46.4%22N+1°32'45.0%22W/@43.496218,-1.548025,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0%20Anglet%20Les%20Sables%20d'Or",43.496218,-1.548025
96,Anglet Les Cavaliers,PAYS BASQUE,"https://www.google.fr/maps/place/Plage+des+Cavaliers/@43.5150493,-1.5378194,15z/data=!4m7!1m4!3m3!1s0x0:0x0!2zNDPCsDMwJzAyLjIiTiAxwrAzMiczNi4yIlc!3b1!3m1!1s0x0000000000000000:0xe45c2b132b033a4e",43.5150493,-1.5378194
97,Belharra,PAYS BASQUE,"https://www.google.fr/maps/place/43°23'49.2%22N+1°41'38.9%22W/@43.396997,-1.696333,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.396997,-1.696333
98,Biarritz Côte des Basques,PAYS BASQUE,"https://www.google.fr/maps/place/43°28'41.3%22N+1°34'01.7%22W/@43.478145,-1.5689679,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.478145,-1.5689679
99,Biarritz Grande Plage,PAYS BASQUE,"https://www.google.fr/maps/place/Grande+Plage/@43.4845208,-1.5626486,17z/data=!4m7!1m4!3m3!1s0x0:0x0!2zNDPCsDI4JzQxLjMiTiAxwrAzNCcwMS43Ilc!3b1!3m1!1s0x0000000000000000:0xd1769ee7cbc592f1",43.4845208,-1.5626486
100,Bidart Centre,PAYS BASQUE,"https://www.google.fr/maps/place/43°26'13.5%22N+1°35'51.2%22W/@43.437079,-1.599754,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.437079,-1.599754
101,Bidart Parlementia,PAYS BASQUE,"https://www.google.fr/maps/place/43°25'40.2%22N+1°36'37.6%22W/@43.427846,-1.612634,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.427846,-1.612634
102,Erromardie,PAYS BASQUE,"https://www.google.fr/maps/place/43°24'27.5%22N+1°38'31.8%22W/@43.407627,-1.644367,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.407627,-1.644367
103,Guéthary Les Alcyons,PAYS BASQUE,"https://www.google.fr/maps/place/43°25'36.4%22N+1°36'46.1%22W/@43.426771,-1.614994,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.426771,-1.614994
104,Hendaye,PAYS BASQUE,"https://www.google.fr/maps/place/43°22'34.1%22N+1°46'24.7%22W/@43.376134,-1.775712,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.376134,-1.775712
105,Saint Jean de Luz Lafiténia,PAYS BASQUE,"https://www.google.fr/maps/place/43°25'01.8%22N+1°37'49.7%22W/@43.417171,-1.63267,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.417171,-1.63267
106,Brutal Beach,PACA,"https://www.google.fr/maps/place/43°06'39.0%22N+5°48'41.7%22E/@43.110821,5.809391,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.110821,5.809391
107,Cannes La Napoule,PACA,"https://www.google.fr/maps/place/43°32'14.7%22N+6°57'22.2%22E/@43.537427,6.953981,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",43.537427,6.953981
